team_name,team_abbr,team_id_num,team_logo_espn,team_scoreboard_logo_espn,team_cap_logo_on_light,team_cap_logo_on_dark,team_color,team_color2,team_color3,team_color4,team_color5,team_league,team_division,team_league_logo,mlb_logo
Arizona Diamondbacks,ARI,109,https://a.espncdn.com/i/teamlogos/mlb/500/ari.png,https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/ari.png,https://www.mlbstatic.com/team-logos/team-cap-on-light/109.svg,https://www.mlbstatic.com/team-logos/team-cap-on-dark/109.svg,#A71930,#E3D4AD,#000000,#30CED8,#FFFFFF,NL,NL West,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nl.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png
Atlanta Braves,ATL,144,https://a.espncdn.com/i/teamlogos/mlb/500/atl.png,https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/atl.png,https://www.mlbstatic.com/team-logos/team-cap-on-light/144.svg,https://www.mlbstatic.com/team-logos/team-cap-on-dark/144.svg,#CE1141,#13274F,#EAAA00,#FFFFFF,,NL,NL East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nl.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png
Baltimore Orioles,BAL,110,https://a.espncdn.com/i/teamlogos/mlb/500/bal.png,https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/bal.png,https://www.mlbstatic.com/team-logos/team-cap-on-light/110.svg,https://www.mlbstatic.com/team-logos/team-cap-on-dark/110.svg,#DF4601,#000000,,,,AL,AL East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/al.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png
Boston Red Sox,BOS,111,https://a.espncdn.com/i/teamlogos/mlb/500/bos.png,https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/bos.png,https://www.mlbstatic.com/team-logos/team-cap-on-light/111.svg,https://www.mlbstatic.com/team-logos/team-cap-on-dark/111.svg,#BD3039,#0C2340,#FFFFFF,,,AL,AL East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/al.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png
Chicago Cubs,CHC,112,https://a.espncdn.com/i/teamlogos/mlb/500/chc.png,https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/chc.png,https://www.mlbstatic.com/team-logos/team-cap-on-light/112.svg,https://www.mlbstatic.com/team-logos/team-cap-on-dark/112.svg,#0E3386,#CC3433,,,,NL,NL Central,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nl.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png
Chicago White Sox,CWS,145,https://a.espncdn.com/i/teamlogos/mlb/500/cws.png,https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/chw.png,https://www.mlbstatic.com/team-logos/team-cap-on-light/145.svg,https://www.mlbstatic.com/team-logos/team-cap-on-dark/145.svg,#27251F,#C4CED4,,,,AL,AL Central,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/al.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png
Cincinnati Reds,CIN,113,https://a.espncdn.com/i/teamlogos/mlb/500/cin.png,https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/cin.png,https://www.mlbstatic.com/team-logos/team-cap-on-light/113.svg,https://www.mlbstatic.com/team-logos/team-cap-on-dark/113.svg,#C6011F,#000000,,,,NL,NL Central,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nl.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png
Cleveland Guardians,CLE,114,https://a.espncdn.com/i/teamlogos/mlb/500/cle.png,https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/cle.png,https://www.mlbstatic.com/team-logos/team-cap-on-light/114.svg,https://www.mlbstatic.com/team-logos/team-cap-on-dark/114.svg,#0C2340,#E31937,,,,AL,AL Central,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/al.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png
Colorado Rockies,COL,115,https://a.espncdn.com/i/teamlogos/mlb/500/col.png,https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/col.png,https://www.mlbstatic.com/team-logos/team-cap-on-light/115.svg,https://www.mlbstatic.com/team-logos/team-cap-on-dark/115.svg,#33006F,#C4CED4,#000000,,,NL,NL West,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nl.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png
Detroit Tigers,DET,116,https://a.espncdn.com/i/teamlogos/mlb/500/det.png,https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/det.png,https://www.mlbstatic.com/team-logos/team-cap-on-light/116.svg,https://www.mlbstatic.com/team-logos/team-cap-on-dark/116.svg,#0C2340,#FA4616,,,,AL,AL Central,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/al.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png
