player_name,last_first,chadwick_name,espn_name,savant_id,bbref_id,retro_id,fangraphs_id,espn_id,espn_headshot
Alex Rodriguez,"Rodriguez, Alex",Alex Rodriguez,Alex Rodriguez,121347,rodrial01,rodra001,1274,3115,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3115.png
LaTroy Hawkins,"Hawkins, LaTroy",LaTroy Hawkins,LaTroy Hawkins,115629,hawkila01,hawkl001,729,3176,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3176.png
Joe Hudson,"Hudson, Joe",Joe Hudson,Joe Hudson,621529,hudsojo03,hudsj002,14412,3258,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3258.png
Bartolo Colon,"Colon, Bartolo",Bartolo Colon,Bartolo Colon,112526,colonba01,colob001,375,3602,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3602.png
Torii Hunter,"Hunter, Torii",Torii Hunter,Torii Hunter,116338,hunteto01,huntt001,731,3723,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3723.png
David Ortiz,"Ortiz, David",David Ortiz,David Ortiz,120074,ortizda01,ortid001,745,3748,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3748.png
Aramis Ramirez,"Ramirez, Aramis",Aramis Ramirez,Aramis Ramirez,133380,ramirar01,ramia001,1002,3853,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3853.png
Adrián Beltré,"Beltré, Adrián",Adrian Beltre,Adrian Beltre,134181,beltrad01,belta001,639,3878,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3878.png
Bruce Chen,"Chen, Bruce",Bruce Chen,Bruce Chen,136600,chenbr01,chenb001,769,3926,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3926.png
A.J. Pierzynski,"Pierzynski, A.J.",A. J. Pierzynski,A.J. Pierzynski,150229,pierza.01,piera001,746,3948,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3948.png
Carlos Beltrán,"Beltrán, Carlos",Carlos Beltran,Carlos Beltran,136860,beltrca01,beltc001,589,3971,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3971.png
Rafael Betancourt,"Betancourt, Rafael",Rafael Betancourt,Rafael Betancourt,429783,betanra01,betar001,177,3985,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3985.png
